61 회 ㅣ 2007-02-02교감	어이구 서선생 벌써 퇴근준비하는거야? 30분이나 남았는데?
민정	에? 아니 저..
교감	처음엔 안그러더니 어쩌면 그렇게 갈수록 성실해지는지. 요즘 보면 이민용 선생 능가할 정도로 성실해요. 이선생 능가한다는게 쉽지 않은 일인데 말이야. 대단해 대단~해.
교감	어 마침 초대 성실대마왕이 들어오시네.
민용	네?
교감	지금 생각보면 내가 참 잘했다 싶어요. 초임교사를 이민용 선생 옆자리에다 앉힐 생각을 했으니. 이선생의 그 성실함을그대로 물려받아서 갈수록 성실해지잖아. 저거봐.
교감	보고서는 언제 줄껀가? 또 한달 기다려야 되나?
민용	오늘밤까지 드립니다.
교감	(다른쪽에 있는 선생에게 가며) 어 검소한 백선생.
	오늘은 또 토끼털 코트네? 아버지가 사냥꾼이신가? 사람 참 검소해요. 모범 교사상이 어떤가를 보여줄려고 그렇게 얘길해도 계속 비싼 털코트만 입고 다니고 말이야. 어쩜 그렇게 검소하지? 백결선생 후손이신가?
백선생	죄송합니다..
교감	어? 어이 바다같이 속 넓은 박선생~ 아직도 삐져 있나? (밖으로 나간다)
백선생	(짜증내며) 아우 정말 방학중엔 좀 안나오시면 안되나.하루종일 배배 꼬는거 정말 스트레스 받아 미칠 거 같애.
민용	백선생은 1년밖에 안됐죠. 난 지금 3년째 성실한 이선생 소리 듣고 삽니다.
민정	헤..3년이나 같이 계셨어요?
민용	나 엄청 불쌍하죠?
민정	네..
민용	(작게) 커피 사요 그럼.
민정	네? 그럼요~ (웃는)
민용	왜요? 설탕 줘요?
민정	지금 보니까 손이 되게 이쁘네요~ 손가락이 와~
민용	(자기 손을 보며) 에? 뭐야 난 또 손도 섬섬옥수인거야? 야..
민정	정말 섬섬옥수예요~
민용	하..지금까지 남자친구 몇명이나 사겼어요?
민정	에? 왜.. 왜요..?
민용	서선생 만나구 왕자병 걸려서 돌아다니는 놈들이 얼마나 많을까 궁금해서.
민정	에~?
민용	나도 세뇌가 됐는지, 아침에 거울을 보는데 갑자기 왠브래드피트 닮은 놈이 서 있는거야. 순간 깜짝 놀랐다니까.
민정	(깔깔거리며 웃는) 네? 아하하하 이선생님 너무 웃겨요~
민용	(웃으며) 유재석보다 더 웃겨요 또?
미려	(밖에서) 민정아~~ (반갑게 손을 흔드는)
민용	누..누구..?
민정	제 고등학교 동창인데. 어후 놀래라.
미려	민정아 민정아 오랜만이다~ (와서 안고 호들갑 떨고)
민정	야 미려야~ 진짜 오랜만이야~
미려	(끌어안은 채) 누구? 남자친구신가? 야 안녕하세요 저김미려예요~(민정을 격하게 끌어안은 채 악수를 청하는) 반갑습니다~
민용	아 네.. (악수를 하며 찌푸리며 보는)
민용	아 지금 들어왔어요.
민정	(OFF) 죄송해요..하...미려가 굳이 집구경하겠다고...
민용	오랜만에 만난 친군데 재밌게 놀아요. (하다) 아 참. 파일 받아간다고 해놓고 그냥 왔네? 아..어떡하지?
윤호	삼촌 만화책 줘 갖다주게.
민용	아 윤호 시키면 되겠다. 윤호 보낼께요. (끊는) 야 너심부름 좀 해라.
윤호	어?
민용	(만화책 주며) 이거 갖다주는 김에 서선생 집에 들러서 파일 좀 받아와.
윤호	아 싫어~ 삼촌이 가 왜 나한테 시켜?
민용	개기냐? (하고) 가봐. 가면 좋은 구경할껄.
윤호	무슨 구경?
민용	엄청 이쁜 여자도 와 있고.
윤호	어?
미려	어머 둘이 살기는 크다~야 너 봉 잡았다 그 돈으로 이렇게 큰 집을 전세로~
민정	뭐..운이 좋았지. (하고) 근데 너 큐레이터 그만두고 유학갔다고 들은 거 같은데? 난 너 파리에 있는 줄 알았어.
미려	다음주에 떠나.
민정	아 정말?
미려	가기 전에 너 만나서 참 좋다~ 안그래도 한번 보고 싶었는데~ 기집애가 언제 또 남자친구는 만들어서 으이구 많이 컸어 서민정~ (민정 볼을 꼬집는)
민정	아야..
윤호	선생님.
민정	어 윤호야...
미려	(민정 볼 잡은 채 돌아보는)
윤호	삼촌이 파일 좀 받아오라고..
민정	어..놔봐..(미려 팔을 내리고) 윤호야 잠깐만. (방으로들어가는)
미려	(윤호한테로 오며) 넌 뉘시냐?
윤호	예?
미려	선생님..이라고 하는 거 보니까 학생..?
윤호	에? 에..
미려	(웃으며) 이름은 윤호. 몇학년~?
윤호	(기분 나쁘게 보는) 왜 물으세요?
미려	어머 어머. (웃으며) 기분 나빠? 어머 너 반항학생이구나 표정 딱 보니까.
민정	윤호야 여기.
미려	귀엽다 아이그. (머리 헝클며) 꼬나보지 마~ 누나가귀여워서 물어본거야.
윤호	(재수없는 표정) 저 갈께요.
민정	뭐라도 마시고 가 윤호야.
윤호	삼촌이 빨리 갖고 오랬어요. 갈께요. (인사하고 나가는)
미려	(웃으며 손 흔들어주는) 윤호 안녕~
민정	잘 가 윤호야. (배웅하고 문 닫는)
미려	쟤 몇학년이야?
민정	1학년.
미려	뭐? 그럼 이제 2학년 올라가는 거야? 어우 너무 어리다~~ 애가 키가 커서 난 또 3학년 쯤 된 줄 알았네.
민정	요새 애들은 발육이 빠르잖아.
미려	그럼 90년생..? 하..(고개를 저으며) 참 풋풋하다 풋풋해.
민정	아 망고 있는데. 망고 먹을래? (베란다 가고)
미려	어 좋지. (따라가는)
미려       망고를 왜 냉장고에 안 넣고 베란다에 둬?
민정       어제 받은 건데 안 그래도 지금 넣을려고. (꺼내는)
미려	(내려다보는)
미려       (보고 웃으며) 어쭈..어린 놈이 오토바이도 타?
민정       어? (같이 보곤) 쟤? 어.(일어나 보곤 거실로 나가는)
미려	어이구 어이구 잘 타네. 어이구~~ (웃으며 나오는)
민용	고맙다. (하고) 이쁜 여자 아직도 있지?
윤호	이쁜 여자? 하 씨. 그 느끼한 누나 얘기한거야?
민용	(웃으며) 그래. 이쁘잖아. 목소리도 곱고.
윤호	하 진짜..(째려보며 봉 타고 내려가는)
민용	여보세요 네 교감선생님. 아 지금 하고 있습니다. (하다) 네? 원주에요..?
교감	이선생이 가는게 좋을 거 같아서.교장선생님한테도 말씀드렸으니까 내일 10시쯤 출발하라구.
민용	아니 저 갑자기 그러시면..
교감	내일 별일 없다고 아까 그러지 않았나?
민용	아 그게.. (하다) 아 에...보고서는 밤까지 드리는데..네..(전화 끊고) 하 씨..뭐야.. 자기 맘대로. (짜증내다가생각하는 표정)
민용	(죽어가는 목소리로 OFF) 아... 교감선생님.. 저 이민용입니다...
교감	왜 그래요? 어디가 아픈가?
민용	(OFF) 네.. 새벽에 갑자기 위경련 때문에 응급실에 다녀와서..
교감	응급실?
민용	스트레스성이라고 하는데.. 네.. 밤새 앓아서요...죄송한데 어떡하죠.. 오늘은 도저히...제가... 그럼 누굴 보내시게요..? 네.. 알겠습니다.. 죄송합니다. (전화 끊고 멀쩡하게 밥 먹는)
민용	(먹다가 보는) 왜요?
해미	삼촌, 야... (웃는)
민용	왜요? 제 연기력에 감탄이라도 하셨나.
해미	네 정말. 야~~ 브라보~ (고개 흔들며 박수치며 나간다)
신지	누구세요...
미려	안녕하세요! (휙 들어오는)
신지	(놀라서) 누..누구세요?
미려	민정이 룸메이트시구나~ 사진 봤어요~ 안녕하세요 전 민정이 친구 김미려입니다. 반갑습니다. (악수하는)
신지	에.. (얼결에 보며) 민정아.. 손님 오셨어.
민정	누구..(하다 놀라며) 미려야?
미려	민정아~~ 나 또 왔어~~
민정	왠일이야 이 시간에? (시계 보며) 9시 밖에 안 됐는데?
미려	야 출국 일주일밖에 안 남았는데 하루하루 게으름 피울 시간 있냐? 오늘 너랑 좋은 추억 만들려구 일찌감치 왔지~ 좋지? 좋지?
민정	좋은 추억..? (표정)
교감	갑자기 불러내서 미안해요.
박선생	괜찮습니다.
교감	응급실에 실려갔다는 사람을 원주까지 운전하라고 하기도 그렇고 말이야..
교감	저...저....
박선생	네?
교감	저 저... (하더니 핸드폰을 급하게 하는) 여보세요. 이선생? 어 몸은 좀 어떤가 해서?
민용	(죽어가는 소리로) 하... 뭐... 그냥 누워있습니다...
교감	저런 어떡해? 문병이라도 가야 되는데 말야 내가 원주가는 길이라..
민용	문병은요... 괜찮습니다... 네 네...  (전화 끊는)
박선생	아직도 많이 아픈가봐요?
교감	(전화 끊으며) 야 사람이 말야..얼마나 정직한지 세상에..너무 정직해서 아주 내 혈압이 터질라 그러네. (하더니) 박선생. 미안한데 혼자 가도 돼죠?
박선생	네?
교감	이거 내가 도저히 그냥 넘길 수가 없네. 교감을 얼마나 대단하게 취급하는지 말이야.. 감사 표시라도 해야지 안되겠어.
박선생 	이선생 집 어딘지 알죠?
박선생	네..?
민정	너 진짜 밥 안 먹어도 돼?
미려	먹었다니까.
신지	그래도 좀이라도 드세요.
미려	아녜요~ 신경쓰지 마세요~ (혼자 룰루거리는)
신지	(작은소리로) 별로 친한 친구도 아니라며. 왜 이틀 연속으로 와?
민정	(작은소리로) 몰라..쟤는 나를 친하다고 생각하나..?
민호	(괴로와하며) 아 시끄러 제발 좀 나가서 해.
윤호	니가 나가서 자. 왜 대낮부터 퍼 자고 난리야.
민호	어제 밤샘해서 그래. 좀 나가라 어?
윤호	싫은데? (하며 계속 치는)
민호	아호 정말. (이불 뒤집어쓰는)
윤호	어? 교감선생님.
교감	어..그래.. 이민용 선생 조카던가 참..?
윤호	에..
교감	내가 집을 잘 찾았구만. 이선생 안에 있나? (불쑥 들어가는)
문희	(보고) 누구세요?
교감	아 이민용 선생님 어머님 되시나..
문희	네 그런데요.
교감	안녕하세요. 전 풍파고등학교 교감입니다.
문희	어머. 어머 안녕하세요. (90도로 인사하는) 아유 왠일로..
교감	실례지만 이선생 좀 볼려구..
문희	민용이 지금 나갔는데요.
교감	네. 역시..(하고) 그럼 좀 기다려도 될까요?
문희	네 그럼요. 아유 앉으세요 앉으세요.
교감	네. (들어와 앉는)
윤호	선생님.
미려	어이 윤호~
윤호	(기겁을 하는) 어어~
미려	(웃으며) 으이구 귀여운 학생 또 만났네~~ 반가워~
윤호	에.. 선생님은...
미려	선생님 마트 갔는데~
윤호	네?
미려	들어와 들어와서 기다려 금방 올꺼야~
윤호	아 오라 그래놓군...(투덜거리며 올라오는)
미려	어이구 90년 생이라며. 뭘 먹고 이렇게 키가 컸어?(하며 엉덩이를 두드리는)
윤호	(피하며) 어 왜 이러세요?
미려	으이구? 으이구 (웃으며) 야 너 누나도 여자라고 내외하냐? 아이구 머리에 피도 안 마른 게. 으이그 으이그. 귀여워서 그런다 귀여워서. (하며 엉덩이를 또 두드린다)
윤호	(피하며) 아 왜 이러세요 진짜!
미려	(두 손을 들고) 알았어 알았어. (하고) 너 화내는 것도귀엽다?야 청춘이 좋긴 좋아. 뭐 좀 마실래? (냉장고로 가는)
윤호	하.. (기막힌 표정)
문희	차 좀 드세요.
교감	네 고맙습니다.
문희	근데 민용이가 전화가 안 되네요. 극장에 갔는지 핸드폰을 꺼놔서..
교감	아하. 극장이요. 야..극장 좋지요.
문희	네 걔가 영화를 워낙 좋아해요~근데 우리 민용이가 학교에선 잘 하고 있는지 모르겠어요.
교감	네 네. 잘~하죠. 얼마나 성실한지 별명이 성실한 이선생입니다. 아주 제가 성실상 표창 달라고 이사장님께 건의라도 드릴 생각입니다 네.
문희	(굉장히 좋아하며) 어머 정말이요?(인사를 마구 하며) 아유 잘 봐주셔서 너무 감사합니다~
교감	네? (표정)
문희	우리 민용이가 막둥이라서 나이 먹었어두 늘 마음이안 놓이는데.교감선생님이 이렇게 잘봐주시니 세상에..너무 안심이 되네요.
교감	(표정) 아..? (하며 커피 마시다가 푸 뱉는) 아 퉤.
문희	어머 왜 그러세요?
교감	(인상 찌푸리며) 소금을 넣으신 거 같은데요? 커피가아주 짭니다.
문희	네? 어머나 어머나 내가 미쳤나 왠일이야.(커피 마셔보더니) 아이구 이를 어째 죄송해요..
교감	(입 닦으며) 뭐 괜찮습니다 몸에 소금끼도 보충하고.생전 첨 맛보는 짠 커피. 특별 대접 받는거 같고 아주좋네요. 뭐.
문희	예? 정말요? (입가리고 수줍게 웃는) 호호호호~ 감사합니다~
교감	네?
문희	(커피 그냥 놓고 가는) 그럼 과일 좀 내올께요.
교감	아니 저...(하다) 뭐야 이걸 그냥 먹으라는거야? (표정)
순재	나 왔어.
문희	(도로 나오며) 일찍 오셨네. 인사하세요. 민용이 학교교감선생님이시래.
순재	아 네. 안녕하십니까.
문희	저희 집 양반..
교감	처음 뵙겠습니다.
순재	아유 어떻게 저희 집까지 이렇게..
문희	민용이 만나러 오셨대요. 민용이를 너무 이뻐해주시고 아껴주셔서..얼마나 감사한지.
순재	아유 그래?
미려	(심심한듯) 아휴~ (하며 발가락으로 윤호 허벅지 찔러보는) 야..
윤호	(쳐다보고) 왜요?
미려	심심해서.
미려	으이그 으이그 눈빛 봐라 너 무지 무섭다.(웃으며) 야,너 내가 몇살인지나 알아? 니 담임선생님이랑 동갑이야 임마. 새까맣게 어린게 누나가 장난 좀 쳤다고 꼬나보기는~
윤호	....
미려	으이그 으이그. (하며 윤호 볼을 꼬집는)
윤호	아 하지 마세요 좀.
미려	근데 너 피부 진짜 좋다. 니 나이엔 여드름 날 때 아니야? (하면서 볼을 쓰다듬는)
윤호	하..(피하는)
미려	어? 야 너 운동 좀 했구나? (하며 어깨와 팔을 주물러보는)
윤호	(팔 빼려고 하는데)
미려	가만 있어봐 이거 헬스 꽤 한거 같은데~ 어~ 공부는안하고 너 몸만 가꿨지? 으이그 으이그..
윤호	아 좀..
민정	어 윤호야?
윤호	선생님!
