68 회 ㅣ 2007-02-13
친구1	세상에 어쩜 이렇게 알이 크대?
친구2	(눈에 대보며) 눈까리 만하네 완전.
문희	나 좀 껴보자. 아니 이 큰걸 어떻게 그렇게 싸게 팔아?혹시 가짜 아니구?영기엄마	금은방 주인이 친군데 아무렴 속일까.그냥 금은방 정리하느라고 원가도 안되게 판거야.
문희	(자기가 껴보고 이리저리 보며) 때깔이 그냥 아유 너무 곱다.영기엄마	하나 해. 자기 저번에 산 그 밍크코트에 끼고 다니면얼마나 잘 어울릴텐데.
문희	벌써 겨울 다 갔는데 뭐.
영기엄마	그거 아니더라두 말이야.늙으면 손도 보기 싫어서 화려한걸로 시선을 돌려야된다구.
영기엄마	자기두 사달라 그래 영감한테. 밍크코트는 몰라도 진주 하나는 사주겠지.
문희	사준다고? 옷 한벌도 한번 얻어입으려면 애교를 있는대로 떨어야되는데.. (고개 젓는)
윤호	(자다가도 일어나 귀찮다는 듯이) 또 무슨 편지? 놓고가.컨디션 괜찮으면 볼께.
윤호	어? 나 아냐?
범	(당황하는) 나?
윤호	(쿨하게) 나 아냐? 하하 난 또 난줄 알고. (얼른 나가는)
민호	오~ 우리 범이 대단한데~ 자식 은근히 여자들한테 한인기하는데?
유미	무슨 소리야?
민호	어 유미야. (하고) 아니 옆 반 여자애들이 범이한테 러브레터 주고 갔어.
범	(유미 의식하곤) 유치하게 이게 뭐냐?난 여자고 남자고 유치한 거 딱 질색이야.
유미	정말? 좋으면서..
범	(질색하며) 좋긴요 하나도 안 좋아요..(하다 표정)
민호	왜 갑자기 존대말을 써?
범	아, 그러게, 내가 왜 이러냐? 하하..
범	어 왜.. 왜 그래요?
유미	너 또!
범	네..?
유미	너 진짜 왜 그래? 그냥 평소처럼 하라 그랬잖아.
범	그래도 넌..누나잖아요.
유미	씁! 두 번 얘기 안해. 한번만 더 그러면 알지?
범	네.
유미	또!
범	아 알았어.
유미	부탁할게. 범아. 어? 예전처럼 대해줘 제발. (가볍게범의 뺨 토닥이는)
범	응..
순재	뭐 흑진주?
문희	아니 사거리 금은방 폐업 정리하는데, 뭐 원가도 안되게 판다고 그러더라구.
순재	도대체 밥 먹고 누우면 뭐에 또 돈 쳐들일까 그 생각만 하지 어?
문희	비싸지도 않아. 완전 원간데 이건 안사면 되려 손해라니까.
순재	애 키우는 사람이 반지는 껴서 뭐해? 그거 껴봤자 준이때문에 다 망가지지.
문희	밖에 나갈때만 낄꺼야 뭐.
순재	시끄러. (하고 나가는)
문희	정말 안 사줘?
순재	안 사줘.
문희	하.. (하다 얼른 애교 떨어보는) 여봉~~
문희	(허리 흔들며) 문희는 흑진주 반지 갖고 싶은데..
순재	또 또! (질색하며) 또 병원 가서 뇌 사진 찍어보고 싶으면 애교 떨어~ 어?
순재	한번만 더 문희 문희 해봐 아주 그냥. (나간다)
문희	어유 저 심술탱이 저거~ (발로 확 차는 시늉하는)
준하	다녀왔습니다.
순재	어딜 갔다오냐?
준하	동창 모임이 있어서..(눈치 살피며 순재 옆에 앉는다)저기 아버지..?
순재	왜?
준하	저기.. 건물 1층에 지금 비어있는 사무실 하나 있잖아요.
순재	전세 뺀 거? 그래 왜?
준하	아니 저기.. 그거 놀리지 말고 저.. 사무실로 좀 쓰면안돼요?
순재	뭐? 멀쩡한 서재 놔두고 사무실을 왜 만들어?
준하	아니.. 친구들 만났는데.. 사실 그게 좋은 정보나 이런거 듣고 하려면 인맥도 끊지 말고 사람들도 많이 만나고 해야 하는데 제가 집에만 있으니까 교류가 없다고.. 애들이 사무실 하나 내라 그러던데.. 그 말이 맞는 것도 같고..
순재	쓰잘데기 없는 소리 하고 앉았네. 니가, 사무실 운영할만큼의 수익이라도 내면 내가 그때 생각해보마.
준하	아니 아버지.. 지금 제가 수익을 잘 내보자고 사무실..
순재	시끄러 시끄러! 지금 적자 내고 있는걸루도 모잘라서사무실 운영비까지 써댈려구? 그게 월세가 얼만데? 니가 한달 내는 수익보다도 더 많아 임마.
순재	이놈의 뚱땡이 모자 그냥 집에 앉아서 맨날 돈 쓸 궁리만 하고 있고.
순재	좀 생산적인 생각을 하라구 제발 응? (신문 들고 일어나 주방으로 간다)
준하	엄마.. 왜.. 뭘 해달라 그랬길래..?
문희	너는?
민호	수학 기출 문제집 괜찮은 거 하나 구했는데. 너 필요하면 하나 더 구해줄게. 재밌는 문제도 많고.. (하다) 야, 김범.
범	(딴 생각하다) 어? 뭐?
민호	요즘 너 이상해. 무슨 고민 있어?
범	아니. 그런 거 없어.
민호	유미야!
민호	집에 가는거야?
유미	어.
민호	잘됐다. 우리 떡볶이 먹고 안갈래? 조기 포장마차 되게 맛있는데 있는데.
유미	그래?
유미	(어른스럽게 범 유혹하듯) 범아. 얘가 이렇게 유치해.나보고 떡볶이 먹으러 가재. 풋. 웃기지? 얜 내가 지 또래로 보이나봐. 너도 그러니?
범	아뇨. 누나. 전 아니에요.
유미	하긴 범이는 민호처럼 유치한 얜 아니잖아.
범	네. 저 나이 들어 보인단 소리 진짜 많이 들었어요.선생님들도 가끔 저보고 형같다 그래요.
유미	나도 범이 너 보면 어리단 생각보다 그냥.. 남자로 느껴질 때가 더 많아.
범	남자요? (하고 넋 나가는 표정인데)
민호	(OFF) 야, 범아!
민호	우리 떡볶이 먹으러 갈건데. 같이 갈래?
범	어? (유미 괜히 의식하며) 애들처럼 떡볶이는...
유미	그럼 안녕. (민호와 유미 가자)
범	.... 같이 가.. (쭐래쭐래 따라가는)
민호	저건 벌써 자..? (가방 푸는데)
순재	야 민호야.
민호	네.
순재	너 인터넷으로 이 신문 기사 이거 프린트 좀 할 수 있지?
민호	(들여다보며) 오늘자예요?
