82 회 ㅣ 2007-03-07
학생들	안녕하세요.
민정	안녕. 안녕.
민정	엄마야~
민호/범	(웃으며) 안녕하세요.
민정	안녕. 야 니들 덕에 살았다.
택시	어어 조심하세요!
민정	엄마야!
민호	괜찮으세요?범	괜찮으세요?
민정	어. 하 또 니들 덕에 살았어.
민호	저 아저씨 누구야?
오중	(급하게 사라지며 OFF) 얌마 얌마 얌마 뛰어 뛰어 뛰어!!
범	새로 온 선생님이세요?
민정	글쎄. 처음 보는 사람인데?
순재	야 야 준하야!
준하	네?
순재	창동물산 드디어 꿈틀하던데 우리 500주만 더 사자!
준하	그거 다 팔았는데요.
순재	뭐? 아니 왜? 이제 막 올라가기 시작한걸 왜 팔어 왜!
준하	기막힌 정보가 들어와서 갈아탔어요.
순재	뭐?
준하	지난번에 말씀드린 병건제약이요, 신약 개발한거 맞대요.
순재	병건제약? 뭐야 이름도 첨 들어본 회사를..
준하	지난번에 말씀드렸는데 아버지가 제대로 안들으셔서..좌우간 이번엔 저 한번 믿어보세요. 이번엔 확실해요.
순재	이 자식아 맨날 믿으라 그래서 믿었다가 너땜에 쪽박찬 게 한두번이야 한두번! (준하 머리를 움켜쥐고 흔드는) 창동물산을 왜 팔아 왜?
준하	(순재 손 잡으며) 아! 이번엔 확실하다니까요.
순재	시끄러 시끄러! (머리 잡고 막 흔들며) 너 아무래도 내재산 말아먹을라고 작정 했지? 너 솔직히 말해. 어? 너 지금 작정하고 그러는거지?
준하	아! 참 믿으시라니까. 아!
문희	(들여다보며) 왜 또 그래? 점심이나 드슈.
순재	하여간 저게 진짜 경제학 전공한 놈이 맞어? 증권회사다닌 놈이 맞냐구? 어디서 엉뚱한 놈이 이준하 가면 쓰고 들어와서 사는거 아니야?
문희	뭔 소리야.
준하	엄마 나 밥 방으로 좀 갖다주세요.
문희	또?
순재	보나마나 또 망했어 또. 모처럼 뭐하나 잡았나 했더니만 그걸 홀라당 또 팔아버리고 개똥같은 걸 쥐고 앉았으니..(궁시렁 궁시렁) 에이 씨. 내가 뼈빠지게 침 놔가며 돈 벌면 뭐하냐고저 놈이 한큐에 다 날려버리는데.
준하	이번엔 정말 확실해요. 한번 기대해보세요.
순재	너 임마 작년에 내가 주식으로 본 손해가 얼만지 알지어?
준하	아버지. 정말 저 한번 믿어보세요. (방으로 가고)
순재	니 말을 믿느니 차라리 준이 말을 믿지. (밥 먹는)
문희	그렇게 못 믿는다 못 믿는다 그러면서도 기대는 맨날왜 해.
순재	그러니까 내가 등신이야. 저 자식 허풍에 30년째 넘어가는 내가 등신이야.생각해보면 저 자식이 학력고사 전날까지도 서울대 법대 간다고 큰 소리 친 놈 아냐 저거. 저 미친 놈 말을 내가 왜 아직도 믿고 있는거야. 나 참. 으이구 등신.
문희	허이구..(웃는)
민정	박선생님. 제가 어제 부탁한 자료..다 보셨어요?
여선생	아 그거요? 이선생님이 잠깐 본다 그래서 드렸는데.(민용이 마침 들어오자) 이선생님! 자료 다 보셨어요? 서선생님 드려야 되는데.
민용	아 네.
