순번,질문,1,2,3,4,정답
1,하이킥 OST 처음 시작 부분에 해당되는 것은 ?  OO 을 향해달려 하이킥 하이킥 ~,하늘,빌딩,창공,지붕,창공
2,이씨가문 가족유니폰 4번에 해당되는 사람은?,이준하,이민호,이윤호,이민용,이민호
3,"전설의 호박고구마, 문희에게 호박고구마를 준 인물은 ?",이사온 윗집사람,영기엄마,김범,서민정선생 어머니,영기엄마
4,민용랜드(옥탑방) 봉을 세운 인물은?,이순재,나문희,이준하,박해미,나문희
5,이순재가 들으면서  눈물을 흘린 유미엄마가 작사한 노래 제목은?,개같은사랑,사랑은소처럼,사랑은개나소나,소를닮은내사랑,사랑은개나소나
6,박해미가 신지가 얄미워서 3일만에 독학한 언어는 ?,일본어,중국어,러시아어,프랑스어,러시아어
7,발명왕 나문희 여사가 발명한 물건이 아닌 것은?,혀골무,안테나숟가락,자전거 발전기,육손이 고무장갑,안테나숟가락
8,해미가 문희에게 운전을 가르쳐 주면서 아련하게 부른사람은 ?,영기엄마,호두과자아저씨,길에서 넘어진 준하,추운날 옷을 얇게 입은 신지,호두과자 아저씨
9,박해미의 전생은 ?,평강공주,주몽,허준,선덕여왕,주몽
10,문희가 치매병원에 끌려가기전 순재에게 애교를 떨면서 먹고싶다고 한 과일은?,사과,딸기,포도,메론,포도
